INFO:root:Запущен импорт данных, используются файлы:C:/Users/pc/PycharmProjects/for_vkr/input_text.csvC:/Users/pc/PycharmProjects/for_vkr/output.csv
INFO:root:Импорт данных успешно завершен
2022-02-12 12:26:14,298 - [INFO] - root - (main.py).auntentification(196) - ПользовательAdmin успешно авторизован
2022-02-12 12:32:05,282 - [INFO] - root - (main.py).auntentification(182) - Попытка входа в систему
2022-02-12 12:32:05,317 - [INFO] - root - (main.py).auntentification(197) - Пользователь  успешно авторизован
2022-02-12 12:32:12,978 - [INFO] - root - (main.py).auntentification(182) - Попытка входа в систему
2022-02-12 12:32:12,993 - [INFO] - root - (main.py).auntentification(212) - Пользователь f не авторизован. Не найден пользователь или неверный пароль.
2022-02-12 12:53:09,785 - [INFO] - root - (main.py).auntentification(186) - Попытка входа в систему
2022-02-12 12:53:09,823 - [INFO] - root - (main.py).auntentification(201) - Пользователь  успешно авторизован
2022-02-12 12:53:13,441 - [DEBUG] - h5py._conv - (attrs.py).create(199) - Creating converter from 5 to 3
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Users\\pc\\PycharmProjects\\for_vkr\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\comicz.ttf', name='Comic Sans MS', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\bahnschrift.ttf', name='Bahnschrift', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,074 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\cambriab.ttf', name='Cambria', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\consola.ttf', name='Consolas', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\framdit.ttf', name='Franklin Gothic Medium', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\Sitka.ttc', name='Sitka Small', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\monbaiti.ttf', name='Mongolian Baiti', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\JOKERMAN.TTF', name='Jokerman', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ariblk.ttf', name='Arial', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 6.888636363636364
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\seguisym.ttf', name='Segoe UI Symbol', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LATINWD.TTF', name='Wide Latin', style='normal', variant='normal', weight=400, stretch='expanded', size='scalable')) = 10.25
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\sylfaen.ttf', name='Sylfaen', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\tahoma.ttf', name='Tahoma', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\pala.ttf', name='Palatino Linotype', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\constanz.ttf', name='Constantia', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-02-12 12:53:14,075 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\verdana.ttf', name='Verdana', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 3.6863636363636365
2022-02-12 12:53:14,076 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\FREESCPT.TTF', name='Freestyle Script', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,076 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\ARIALN.TTF', name='Arial', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 6.613636363636363
2022-02-12 12:53:14,076 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\COLONNA.TTF', name='Colonna MT', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,076 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\KUNSTLER.TTF', name='Kunstler Script', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,076 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\palab.ttf', name='Palatino Linotype', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-02-12 12:53:14,076 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\CALIFI.TTF', name='Californian FB', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-02-12 12:53:14,076 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\webdings.ttf', name='Webdings', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-02-12 12:53:14,076 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\segoeuiz.ttf', name='Segoe UI', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-02-12 12:53:14,076 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\msjhl.ttc', name='Microsoft JhengHei', style='normal', variant='normal', weight=290, stretch='normal', size='scalable')) = 10.1545
2022-02-12 12:53:14,076 - [DEBUG] - matplotlib.font_manager - (font_manager.py)._findfont_cached(1341) - findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\NirmalaB.ttf', name='Nirmala UI', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
